atomtype,smiles,idx_in_mol,mol_index,node_attentions,edge_attentions,prediction,truth
C,[H]c1nnc2c(n1)c(=O)n(C([H])([H])[H])c(=O)n2[H],0,0,"[0.39049386978149414, 0.41060370206832886, 0.40740594267845154, 0.3641420304775238, 0.36184993386268616, 0.4010689854621887, 0.3900449275970459, 0.3652554154396057, 0.36190807819366455, 0.3344554007053375, 0.37731626629829407, 0.3532027304172516, 0.39766064286231995, 0.3187793493270874, 0.3781297206878662, 0.3850118815898895, 0.3689485192298889, 0.41001594066619873]","[0.3661991059780121, 0.38646918535232544, 0.6956101059913635, 0.457929402589798, 0.4078494608402252, 0.6758926510810852, 0.3560969829559326, 0.716198742389679, 0.3011936843395233, 0.30270105600357056, 0.3652101457118988, 0.6722948551177979, 0.33946776390075684, 0.33899128437042236, 0.6847580671310425, 0.27889755368232727, 0.4005977511405945, 0.30480554699897766, 0.33848118782043457, 0.2804785668849945, 0.7186229228973389, 0.36459872126579285, 0.39830365777015686, 0.3860059082508087, 0.32500654458999634, 0.35204899311065674, 0.3635508120059967, 0.7231268882751465, 0.3183160424232483, 0.5954327583312988, 0.3925929665565491, 0.6134241819381714, 0.3663597106933594, 0.6328886151313782, 0.24164673686027527, 0.41842296719551086, 0.7845767140388489, 0.4123375415802002]",-0.19190311431884766,-0.2029
N,,1,0,"[0.39372700452804565, 0.5482110977172852, 0.36661726236343384, 0.4305751621723175, 0.3698030412197113, 0.3650417625904083, 0.3559792935848236, 0.34350308775901794, 0.344169020652771, 0.38039374351501465, 0.4178801476955414, 0.401729553937912, 0.39899587631225586, 0.36059555411338806, 0.37296485900878906, 0.35208919644355774, 0.4040021300315857, 0.3941507935523987]","[0.6742862462997437, 0.67062908411026, 0.6528818011283875, 0.6033782362937927, 0.33253633975982666, 0.6071014404296875, 0.6991087198257446, 0.3096444606781006, 0.6327474117279053, 0.2709396481513977, 0.3947753608226776, 0.3543631434440613, 0.3471229672431946, 0.35449013113975525, 0.6668165922164917, 0.36605024337768555, 0.3743115961551666, 0.31497424840927124, 0.3598889708518982, 0.7818565964698792, 0.4425005316734314, 0.3329014778137207, 0.3590514659881592, 0.610697865486145, 0.6682429313659668, 0.34216612577438354, 0.3150956928730011, 0.2729291021823883, 0.36663925647735596, 0.39531803131103516, 0.32488518953323364, 0.32048317790031433, 0.786896824836731, 0.3792705833911896, 0.3584868311882019, 0.34007611870765686, 0.2731790244579315, 0.254237562417984]",-0.3728557229042053,-0.3875
C,,2,0,"[0.4097609519958496, 0.6152873635292053, 0.4981358051300049, 0.6138879656791687, 0.6187657117843628, 0.36736780405044556, 0.38269203901290894, 0.3396620452404022, 0.37030133605003357, 0.37413981556892395, 0.32944491505622864, 0.37475135922431946, 0.3861730098724365, 0.3846278786659241, 0.37548431754112244, 0.4163527488708496, 0.3814643323421478, 0.39142465591430664]","[0.699569582939148, 0.3198937475681305, 0.5963935256004333, 0.6779372692108154, 0.6176907420158386, 0.6421014070510864, 0.6471794247627258, 0.5532405376434326, 0.29155075550079346, 0.6448000073432922, 0.7078129053115845, 0.4337373971939087, 0.41223621368408203, 0.7750211358070374, 0.3180525600910187, 0.27290719747543335, 0.7020916938781738, 0.3913392424583435, 0.41417738795280457, 0.35572177171707153, 0.7345539927482605, 0.394618958234787, 0.5656710267066956, 0.4375818967819214, 0.20402930676937103, 0.2971307337284088, 0.3079654574394226, 0.39769628643989563, 0.3610534071922302, 0.36453694105148315, 0.2095213085412979, 0.341198205947876, 0.7215074300765991, 0.3709259629249573, 0.3183181881904602, 0.5765420198440552, 0.7257031202316284, 0.7604788541793823]",0.9039528369903564,0.8998
O,,3,0,"[0.3821215033531189, 0.33950740098953247, 0.45001330971717834, 0.6036551594734192, 0.36045727133750916, 0.40382450819015503, 0.38417848944664, 0.37047064304351807, 0.39650675654411316, 0.37940526008605957, 0.3430337607860565, 0.38673919439315796, 0.407012015581131, 0.39474090933799744, 0.3842709958553314, 0.3675466477870941, 0.39693596959114075, 0.0]","[0.6928980946540833, 0.27201807498931885, 0.3772296905517578, 0.32544460892677307, 0.7219333052635193, 0.6956974267959595, 0.3039543330669403, 0.3018134534358978, 0.29936841130256653, 0.3461078703403473, 0.33125096559524536, 0.3202883303165436, 0.7122976183891296, 0.7135602831840515, 0.21926023066043854, 0.3454689383506775, 0.3973802328109741, 0.7278472185134888, 0.7621798515319824, 0.3284037113189697, 0.684615433216095, 0.33844321966171265, 0.4743029475212097, 0.3207668662071228, 0.29621875286102295, 0.3515393137931824, 0.6876969337463379, 0.3386601507663727, 0.3848215639591217, 0.7639988660812378, 0.7201300859451294, 0.3837098479270935, 0.3090340793132782, 0.7466011047363281, 0.6686665415763855, 0.3539597690105438, 0.0, 0.0]",-0.6786210536956787,-0.6535
N,,4,0,"[0.3459177613258362, 0.38538411259651184, 0.38760456442832947, 0.39401039481163025, 0.6701976656913757, 0.3551343083381653, 0.34544283151626587, 0.3464260399341583, 0.35827183723449707, 0.355303555727005, 0.37701594829559326, 0.3481140732765198, 0.359168142080307, 0.40019258856773376, 0.38158947229385376, 0.3772038519382477, 0.5719231367111206, 0.4077247977256775]","[0.2989482581615448, 0.3142980933189392, 0.6048745512962341, 0.315462201833725, 0.47645702958106995, 0.6156254410743713, 0.6587164402008057, 0.5771756172180176, 0.5868620276451111, 0.6289255023002625, 0.29519447684288025, 0.5761348009109497, 0.6787645220756531, 0.28908148407936096, 0.3483577370643616, 0.3010748326778412, 0.29695188999176025, 0.6609296798706055, 0.7439274191856384, 0.7064756155014038, 0.29090505838394165, 0.28965121507644653, 0.4382716417312622, 0.6827763319015503, 0.37161099910736084, 0.647485077381134, 0.27927613258361816, 0.3002144694328308, 0.3335174024105072, 0.30010730028152466, 0.2887476682662964, 0.7609465718269348, 0.36247533559799194, 0.7145482301712036, 0.5261260271072388, 0.6198131442070007, 0.7832300066947937, 0.41437408328056335]",-0.6336225271224976,-0.6427
C,,5,0,"[0.37897777557373047, 0.3747493326663971, 0.33256757259368896, 0.3665247857570648, 0.6322676539421082, 0.4125293493270874, 0.6169989705085754, 0.3840021789073944, 0.3702012598514557, 0.39900919795036316, 0.3503052890300751, 0.3883712887763977, 0.3753161132335663, 0.45081889629364014, 0.4025307595729828, 0.39131471514701843, 0.393508642911911, 0.3786430358886719]","[0.37016329169273376, 0.40236425399780273, 0.34233734011650085, 0.7275950908660889, 0.6400311589241028, 0.3072151839733124, 0.668247401714325, 0.36244451999664307, 0.6272772550582886, 0.311727374792099, 0.6085367798805237, 0.6063101887702942, 0.3311818242073059, 0.5034000277519226, 0.3705040514469147, 0.6929952502250671, 0.3108474314212799, 0.41762983798980713, 0.35571032762527466, 0.3225448727607727, 0.19418959319591522, 0.6724452376365662, 0.21526554226875305, 0.3500836193561554, 0.2985764145851135, 0.7330942749977112, 0.46768221259117126, 0.30250903964042664, 0.725092351436615, 0.239801287651062, 0.38100069761276245, 0.7438575029373169, 0.21230372786521912, 0.7530321478843689, 0.7252657413482666, 0.6187934875488281, 0.39268267154693604, 0.31726717948913574]",0.494961142539978,0.495
N,,6,0,"[0.3850155472755432, 0.3731510639190674, 0.4092985689640045, 0.3652234375476837, 0.39497047662734985, 0.3606813848018646, 0.626870334148407, 0.37459224462509155, 0.3369819223880768, 0.3782390356063843, 0.35771608352661133, 0.4439420998096466, 0.4309057295322418, 0.37593093514442444, 0.38248348236083984, 0.3663778007030487, 0.3980148136615753, 0.39328697323799133]","[0.356779009103775, 0.37011128664016724, 0.6933926343917847, 0.7830927968025208, 0.2804262638092041, 0.24309727549552917, 0.37863689661026, 0.7000022530555725, 0.3122573494911194, 0.2973234951496124, 0.7377633452415466, 0.2705574035644531, 0.3508100211620331, 0.3012920916080475, 0.77237468957901, 0.37000542879104614, 0.2898939847946167, 0.7458798885345459, 0.7050363421440125, 0.3572823405265808, 0.2636861205101013, 0.755379319190979, 0.7787510752677917, 0.7792593240737915, 0.2953333258628845, 0.3377896249294281, 0.38478395342826843, 0.6807292699813843, 0.24228879809379578, 0.7610239386558533, 0.27827784419059753, 0.3950957655906677, 0.6917930841445923, 0.3422792851924896, 0.33066287636756897, 0.7429015040397644, 0.29143446683883667, 0.29789289832115173]",-0.28524184226989746,-0.2877
N,,7,0,"[0.4114527106285095, 0.37718838453292847, 0.36933231353759766, 0.36855247616767883, 0.39862003922462463, 0.34366652369499207, 0.39568570256233215, 0.6227927803993225, 0.3972150385379791, 0.3557971119880676, 0.36199572682380676, 0.3863082528114319, 0.3721482753753662, 0.0, 0.0, 0.0, 0.3697183132171631, 0.40272343158721924]","[0.3678872883319855, 0.702407717704773, 0.699021577835083, 0.340732604265213, 0.2627973258495331, 0.7302281260490417, 0.7279731631278992, 0.3649742603302002, 0.7447054386138916, 0.7062625288963318, 0.42577245831489563, 0.35787203907966614, 0.3409382998943329, 0.3071702718734741, 0.6887727975845337, 0.6844248175621033, 0.2896691858768463, 0.32322558760643005, 0.35157260298728943, 0.3236823081970215, 0.6985061764717102, 0.28341761231422424, 0.33607232570648193, 0.7343528866767883, 0.36614054441452026, 0.36955875158309937, 0.36905765533447266, 0.7019410729408264, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3547985255718231, 0.4083569049835205, 0.39487844705581665, 0.2411048859357834]",-0.29247111082077026,-0.2745
C,,8,0,"[0.36681047081947327, 0.36368152499198914, 0.40720102190971375, 0.3875821530818939, 0.36614271998405457, 0.3654436767101288, 0.4020470976829529, 0.6453902125358582, 0.366399884223938, 0.5963867902755737, 0.36620351672172546, 0.3678532838821411, 0.411158949136734, 0.39548906683921814, 0.41699567437171936, 0.3673010468482971, 0.3885081708431244, 0.3958393335342407]","[0.36563143134117126, 0.3519209325313568, 0.3785618543624878, 0.3903549015522003, 0.7084689736366272, 0.4150969684123993, 0.7074571847915649, 0.3278816342353821, 0.35368984937667847, 0.2377302348613739, 0.7165665030479431, 0.4179304540157318, 0.3203403949737549, 0.713779866695404, 0.6916230916976929, 0.6634648442268372, 0.609387218952179, 0.5715987682342529, 0.27395692467689514, 0.6628789305686951, 0.39557018876075745, 0.39539411664009094, 0.3255467116832733, 0.3812525272369385, 0.30198046565055847, 0.28509318828582764, 0.7526265382766724, 0.34944358468055725, 0.305430144071579, 0.3421787917613983, 0.338828980922699, 0.3429166376590729, 0.7360581755638123, 0.2792727053165436, 0.3141929507255554, 0.3123514652252197, 0.35381850600242615, 0.408794641494751]",0.34488725662231445,0.3566
N,,9,0,"[0.35887160897254944, 0.3498164415359497, 0.35947877168655396, 0.3855712413787842, 0.42702528834342957, 0.3592391908168793, 0.42296427488327026, 0.3538286089897156, 0.37216639518737793, 0.625415563583374, 0.38576367497444153, 0.38154420256614685, 0.3440572917461395, 0.3772173523902893, 0.35891950130462646, 0.395145982503891, 0.4458436071872711, 0.366504043340683]","[0.31135690212249756, 0.6930513381958008, 0.670649528503418, 0.2097449004650116, 0.270401269197464, 0.6868512630462646, 0.3564297556877136, 0.31812524795532227, 0.3171098828315735, 0.3608286380767822, 0.37448400259017944, 0.32560089230537415, 0.3644777536392212, 0.733549952507019, 0.655539333820343, 0.34602782130241394, 0.7718818187713623, 0.6824789643287659, 0.34418439865112305, 0.511551558971405, 0.32132387161254883, 0.7221997976303101, 0.32275763154029846, 0.2463453710079193, 0.2800493538379669, 0.3474773168563843, 0.3602229058742523, 0.35573887825012207, 0.34790143370628357, 0.2801102101802826, 0.3405710458755493, 0.3855527937412262, 0.35015520453453064, 0.29656511545181274, 0.7000921964645386, 0.3713842034339905, 0.33073270320892334, 0.3529583811759949]",-0.4111078381538391,-0.4014
